Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
January 31 2017,NULL,NULL,Passenger,9,4,13,2597,2610,0.50
January 31 2017,NULL,WA,Truck,0,0,0,1,1,0.00
January 31 2017,NULL,CA,Passenger,1,0,1,469,470,0.21
January 31 2017,Adams,WA,Truck,0,0,0,5283,5283,0.00
January 31 2017,Adams,WA,Passenger,2,1,3,12501,12504,0.02
January 31 2017,Allegheny,PA,Passenger,1,0,1,89,90,1.11
January 31 2017,Anne Arundel,MD,Passenger,0,2,2,516,518,0.39
January 31 2017,Alameda,CA,Passenger,6,1,7,389,396,1.77
January 31 2017,Alexandria City,VA,Passenger,1,0,1,186,187,0.53
January 31 2017,Asotin,WA,Passenger,4,4,8,12412,12420,0.06
January 31 2017,Asotin,WA,Truck,0,0,0,6647,6647,0.00
January 31 2017,Arlington,VA,Passenger,1,1,2,176,178,1.12
January 31 2017,Benton,WA,Truck,0,0,0,40975,40975,0.00
January 31 2017,Benton,WA,Passenger,129,133,262,129559,129821,0.20
January 31 2017,Bexar,TX,Passenger,1,4,5,1114,1119,0.45
January 31 2017,Columbia,WA,Passenger,0,1,1,2363,2364,0.04
January 31 2017,Brown,WI,Passenger,1,0,1,23,24,4.17
January 31 2017,Cascade,MT,Passenger,0,1,1,58,59,1.69
January 31 2017,Charles,MD,Passenger,0,1,1,89,90,1.11
January 31 2017,Clackamas,OR,Passenger,1,2,3,422,425,0.71
January 31 2017,Canyon,ID,Passenger,0,1,1,105,106,0.94
January 31 2017,Chelan,WA,Truck,0,0,0,21863,21863,0.00
January 31 2017,Clallam,WA,Passenger,74,68,142,48746,48888,0.29
January 31 2017,Clallam,WA,Truck,0,0,0,21566,21566,0.00
January 31 2017,Ferry,WA,Passenger,2,1,3,4527,4530,0.07
January 31 2017,Clark,NV,Passenger,1,3,4,888,892,0.45
January 31 2017,Clark,WA,Passenger,681,450,1131,301465,302596,0.37
January 31 2017,Chelan,WA,Passenger,54,28,82,52807,52889,0.16
January 31 2017,Cumberland,NC,Passenger,1,0,1,657,658,0.15
January 31 2017,Columbia,WA,Truck,0,0,0,1607,1607,0.00
January 31 2017,Dakota,MN,Passenger,0,1,1,42,43,2.33
January 31 2017,Contra Costa,CA,Passenger,1,0,1,254,255,0.39
January 31 2017,District Of Columbia,DC,Passenger,0,3,3,236,239,1.26
January 31 2017,Cobb,GA,Passenger,0,1,1,75,76,1.32
January 31 2017,Gwinnett,GA,Passenger,0,1,1,91,92,1.09
January 31 2017,Clark,WA,Truck,0,0,0,79525,79525,0.00
January 31 2017,Collier,FL,Passenger,0,1,1,20,21,4.76
January 31 2017,Duval,FL,Passenger,1,1,2,367,369,0.54
January 31 2017,Dane,WI,Passenger,1,0,1,184,185,0.54
January 31 2017,Cowlitz,WA,Truck,0,0,0,28702,28702,0.00
January 31 2017,Douglas,WA,Passenger,29,19,48,27071,27119,0.18
January 31 2017,Deschutes,OR,Passenger,1,1,2,234,236,0.85
January 31 2017,Ferry,WA,Truck,0,0,0,3772,3772,0.00
January 31 2017,Fairfax City,VA,Passenger,1,0,1,6,7,14.29
January 31 2017,Dekalb,GA,Passenger,1,0,1,87,88,1.14
January 31 2017,Cowlitz,WA,Passenger,51,51,102,70074,70176,0.15
January 31 2017,Dale,AL,Passenger,0,1,1,68,69,1.45
January 31 2017,Garfield,WA,Truck,0,0,0,965,965,0.00
January 31 2017,Franklin,OH,Passenger,1,0,1,116,117,0.85
January 31 2017,Douglas,WA,Truck,0,0,0,11744,11744,0.00
January 31 2017,Glacier,MT,Passenger,0,1,1,4,5,20.00
January 31 2017,Dekalb,IN,Passenger,1,0,1,1,2,50.00
January 31 2017,Hamilton,IN,Passenger,1,0,1,67,68,1.47
January 31 2017,El Paso,CO,Passenger,1,1,2,878,880,0.23
January 31 2017,Jefferson,WA,Truck,0,0,0,9697,9697,0.00
January 31 2017,Harnett,NC,Passenger,1,0,1,271,272,0.37
January 31 2017,Juneau,AK,Passenger,0,1,1,51,52,1.92
January 31 2017,Franklin,WA,Truck,0,0,0,18439,18439,0.00
January 31 2017,Howard,MD,Passenger,0,1,1,97,98,1.02
January 31 2017,El Paso,TX,Passenger,0,1,1,595,596,0.17
January 31 2017,Fulton,GA,Passenger,1,2,3,127,130,2.31
January 31 2017,Franklin,WA,Passenger,26,43,69,56236,56305,0.12
January 31 2017,Garfield,WA,Passenger,0,0,0,1316,1316,0.00
January 31 2017,Island,WA,Passenger,102,127,229,60301,60530,0.38
January 31 2017,Jefferson,WA,Passenger,88,56,144,23953,24097,0.60
January 31 2017,Jefferson,NY,Passenger,1,1,2,266,268,0.75
January 31 2017,Lane,OR,Passenger,0,1,1,289,290,0.34
January 31 2017,Fairfax,VA,Passenger,0,3,3,861,864,0.35
January 31 2017,Kitsap,WA,Passenger,562,277,839,174640,175479,0.48
January 31 2017,Gallatin,MT,Passenger,0,1,1,77,78,1.28
January 31 2017,Kitsap,WA,Truck,1,0,1,53683,53684,0.00
January 31 2017,Lewis,NY,Passenger,0,1,1,9,10,10.00
January 31 2017,Kittitas,WA,Truck,0,0,0,13868,13868,0.00
January 31 2017,Kittitas,WA,Passenger,16,16,32,27742,27774,0.12
January 31 2017,Klickitat,WA,Passenger,21,24,45,15084,15129,0.30
January 31 2017,Lincoln,WA,Passenger,2,4,6,7718,7724,0.08
January 31 2017,Grant,WA,Passenger,16,26,42,61779,61821,0.07
January 31 2017,Grant,WA,Truck,0,0,0,26046,26046,0.00
January 31 2017,Island,WA,Truck,1,0,1,21021,21022,0.00
January 31 2017,Grays Harbor,WA,Passenger,26,27,53,44961,45014,0.12
January 31 2017,Jackson,MO,Passenger,1,0,1,71,72,1.39
January 31 2017,Maricopa,AZ,Passenger,2,0,2,1806,1808,0.11
January 31 2017,Grays Harbor,WA,Truck,0,0,0,20424,20424,0.00
January 31 2017,Guilford,NC,Passenger,1,0,1,34,35,2.86
January 31 2017,Marion,OR,Passenger,1,0,1,210,211,0.47
January 31 2017,Maui,HI,Passenger,1,0,1,84,85,1.18
January 31 2017,Hamilton,TN,Passenger,1,0,1,24,25,4.00
January 31 2017,King,WA,Truck,8,1,9,195045,195054,0.00
January 31 2017,Hardin,KY,Passenger,0,1,1,128,129,0.78
January 31 2017,Honolulu,HI,Passenger,4,1,5,655,660,0.76
January 31 2017,Montgomery,MD,Passenger,1,2,3,308,311,0.96
January 31 2017,Lake,IL,Passenger,1,0,1,191,192,0.52
January 31 2017,Latah,ID,Passenger,0,1,1,130,131,0.76
January 31 2017,Okanogan,NULL,Passenger,3,11,14,19667,19681,0.07
January 31 2017,Hidalgo,TX,Passenger,0,1,1,102,103,0.97
January 31 2017,Los Angeles,CA,Passenger,2,1,3,1434,1437,0.21
January 31 2017,Orleans,LA,Passenger,0,1,1,52,53,1.89
January 31 2017,Lewis,WA,Passenger,43,41,84,55774,55858,0.15
January 31 2017,Hood River,OR,Passenger,1,0,1,41,42,2.38
January 31 2017,Lewis,WA,Truck,0,0,0,25702,25702,0.00
January 31 2017,Pend Oreille,WA,Passenger,1,4,5,9626,9631,0.05
January 31 2017,Madison,ID,Passenger,1,0,1,45,46,2.17
January 31 2017,Pend Oreille,WA,Truck,0,0,0,5856,5856,0.00
January 31 2017,King,WA,Passenger,8825,4004,12829,1393850,1406679,0.91
January 31 2017,Pacific,WA,Passenger,5,7,12,15233,15245,0.08
January 31 2017,Loudoun,VA,Passenger,0,1,1,85,86,1.16
January 31 2017,Marin,CA,Passenger,1,0,1,54,55,1.82
January 31 2017,Klickitat,WA,Truck,0,0,0,8231,8231,0.00
January 31 2017,Prince William,VA,Passenger,0,3,3,270,273,1.10
January 31 2017,Pierce,WA,Passenger,829,807,1636,533685,535321,0.31
January 31 2017,Mason,WA,Passenger,50,60,110,43587,43697,0.25
January 31 2017,Manassas City,VA,Passenger,0,1,1,8,9,11.11
January 31 2017,Manatee,FL,Passenger,1,0,1,51,52,1.92
January 31 2017,Miami-Dade,FL,Passenger,0,1,1,131,132,0.76
January 31 2017,Riley,KS,Passenger,1,0,1,97,98,1.02
January 31 2017,San Mateo,CA,Passenger,0,1,1,170,171,0.58
January 31 2017,Santa Barbara,CA,Passenger,0,1,1,134,135,0.74
January 31 2017,Russell,AL,Passenger,1,0,1,55,56,1.79
January 31 2017,Lincoln,WA,Truck,0,0,0,4593,4593,0.00
January 31 2017,Monroe,NY,Passenger,1,0,1,28,29,3.45
January 31 2017,Moore,NC,Passenger,0,1,1,215,216,0.46
January 31 2017,Skagit,WA,Truck,1,0,1,32283,32284,0.00
January 31 2017,Skagit,WA,Passenger,107,97,204,88666,88870,0.23
January 31 2017,Salt Lake,UT,Passenger,0,1,1,336,337,0.30
January 31 2017,Snohomish,WA,Truck,1,0,1,126098,126099,0.00
January 31 2017,Snohomish,WA,Passenger,1553,889,2442,519700,522142,0.47
January 31 2017,Multnomah,OR,Passenger,0,3,3,1271,1274,0.24
January 31 2017,Larimer,CO,Passenger,0,1,1,92,93,1.08
January 31 2017,Stevens,WA,Passenger,6,23,29,32306,32335,0.09
January 31 2017,Pacific,WA,Truck,0,0,0,7699,7699,0.00
January 31 2017,Santa Fe,NM,Passenger,0,1,1,41,42,2.38
January 31 2017,Stevens,WA,Truck,0,0,0,19092,19092,0.00
January 31 2017,Saratoga,NY,Passenger,0,1,1,78,79,1.27
January 31 2017,Marion,FL,Passenger,1,0,1,24,25,4.00
January 31 2017,Tarrant,TX,Passenger,0,2,2,321,323,0.62
January 31 2017,Okanogan,WA,Passenger,0,4,4,6763,6767,0.06
January 31 2017,Skamania,WA,Passenger,7,7,14,8740,8754,0.16
January 31 2017,Sumter,FL,Passenger,0,1,1,9,10,10.00
January 31 2017,Okanogan,WA,Truck,0,0,0,4620,4620,0.00
January 31 2017,Mason,WA,Truck,0,0,0,19810,19810,0.00
January 31 2017,Pima,AZ,Passenger,0,2,2,444,446,0.45
January 31 2017,Polk,FL,Passenger,1,0,1,66,67,1.49
January 31 2017,Travis,TX,Passenger,0,1,1,202,203,0.49
January 31 2017,Pierce,WA,Truck,0,0,0,142299,142299,0.00
January 31 2017,Montgomery,TN,Passenger,1,0,1,300,301,0.33
January 31 2017,Wahkiakum,WA,Passenger,0,1,1,2908,2909,0.03
January 31 2017,Utah,UT,Passenger,0,1,1,187,188,0.53
January 31 2017,Walla Walla,WA,Passenger,16,21,37,35447,35484,0.10
January 31 2017,Virginia Beach City,VA,Passenger,1,1,2,644,646,0.31
January 31 2017,Yakima,WA,Truck,0,0,0,59611,59611,0.00
January 31 2017,Yakima,WA,Passenger,35,53,88,163236,163324,0.05
January 31 2017,Wayne,MI,Passenger,0,2,2,78,80,2.50
January 31 2017,Norfolk City,VA,Passenger,2,1,3,318,321,0.93
January 31 2017,Riverside,CA,Passenger,0,1,1,875,876,0.11
January 31 2017,Whatcom,WA,Passenger,388,159,547,143429,143976,0.38
January 31 2017,Northampton,PA,Passenger,2,0,2,258,260,0.77
January 31 2017,Whitman,WA,Truck,0,0,0,8593,8593,0.00
January 31 2017,Whitman,WA,Passenger,8,21,29,22169,22198,0.13
January 31 2017,Orange,CA,Passenger,2,1,3,715,718,0.42
January 31 2017,Saint Marys,MD,Passenger,0,1,1,201,202,0.50
January 31 2017,Yavapai,AZ,Passenger,1,0,1,78,79,1.27
February 28 2017,Anne Arundel,MD,Passenger,0,2,2,513,515,0.39
January 31 2017,San Juan,WA,Passenger,84,33,117,13667,13784,0.85
February 28 2017,Asotin,WA,Passenger,4,4,8,12468,12476,0.06
January 31 2017,Monterey,CA,Passenger,0,1,1,235,236,0.42
February 28 2017,Asotin,WA,Truck,0,0,0,6653,6653,0.00
February 28 2017,NULL,NULL,Passenger,9,4,13,2520,2533,0.51
January 31 2017,Santa Clara,CA,Passenger,5,3,8,452,460,1.74
February 28 2017,Alameda,CA,Passenger,3,1,4,379,383,1.04
February 28 2017,Adams,WA,Truck,0,0,0,5287,5287,0.00
February 28 2017,Alexandria City,VA,Passenger,1,0,1,184,185,0.54
February 28 2017,Bexar,TX,Passenger,1,3,4,1056,1060,0.38
January 31 2017,Walla Walla,WA,Truck,0,0,0,13603,13603,0.00
February 28 2017,Canyon,ID,Passenger,0,1,1,96,97,1.03
January 31 2017,Okaloosa,FL,Passenger,1,0,1,185,186,0.54
January 31 2017,Thurston,WA,Truck,0,0,0,54738,54738,0.00
February 28 2017,Chelan,WA,Truck,0,0,0,21880,21880,0.00
February 28 2017,Cascade,MT,Passenger,0,1,1,56,57,1.75
January 31 2017,Oklahoma,OK,Passenger,0,1,1,208,209,0.48
February 28 2017,NULL,CA,Passenger,1,0,1,457,458,0.22
February 28 2017,NULL,WA,Truck,0,0,0,1,1,0.00
February 28 2017,Clackamas,OR,Passenger,1,2,3,359,362,0.83
January 31 2017,Orange,FL,Passenger,0,1,1,151,152,0.66
January 31 2017,Volusia,FL,Passenger,0,1,1,49,50,2.00
January 31 2017,Ozaukee,WI,Passenger,0,1,1,4,5,20.00
February 28 2017,Cowlitz,WA,Truck,0,0,0,28667,28667,0.00
February 28 2017,Arlington,VA,Passenger,1,1,2,170,172,1.16
January 31 2017,San Diego,CA,Passenger,4,3,7,2878,2885,0.24
February 28 2017,Dane,WI,Passenger,1,0,1,161,162,0.62
January 31 2017,Pinal,AZ,Passenger,2,1,3,250,253,1.19
February 28 2017,Benton,WA,Truck,0,0,0,40971,40971,0.00
February 28 2017,District Of Columbia,DC,Passenger,0,3,3,229,232,1.29
February 28 2017,Contra Costa,CA,Passenger,1,0,1,239,240,0.42
February 28 2017,Deschutes,OR,Passenger,1,0,1,199,200,0.50
February 28 2017,Duval,FL,Passenger,1,1,2,360,362,0.55
February 28 2017,Ferry,WA,Passenger,2,1,3,4545,4548,0.07
February 28 2017,Ferry,WA,Truck,0,0,0,3764,3764,0.00
January 31 2017,Skamania,WA,Truck,0,0,0,4083,4083,0.00
February 28 2017,Franklin,OH,Passenger,0,1,1,111,112,0.89
February 28 2017,Franklin,WA,Truck,0,0,0,18477,18477,0.00
February 28 2017,Garfield,WA,Truck,0,0,0,962,962,0.00
February 28 2017,Franklin,WA,Passenger,26,43,69,56201,56270,0.12
February 28 2017,Gallatin,MT,Passenger,0,1,1,70,71,1.41
February 28 2017,Charles,MD,Passenger,0,1,1,91,92,1.09
February 28 2017,El Paso,CO,Passenger,1,1,2,843,845,0.24
February 28 2017,Fulton,GA,Passenger,1,1,2,120,122,1.64
January 31 2017,Spokane,WA,Passenger,226,232,458,298756,299214,0.15
February 28 2017,Garfield,WA,Passenger,0,0,0,1323,1323,0.00
February 28 2017,Clallam,WA,Truck,0,0,0,21572,21572,0.00
January 31 2017,Saint Lucie,FL,Passenger,1,0,1,31,32,3.12
February 28 2017,Grant,WA,Truck,0,0,0,26050,26050,0.00
February 28 2017,Grays Harbor,WA,Truck,0,0,0,20408,20408,0.00
January 31 2017,San Juan,WA,Truck,0,0,0,5782,5782,0.00
February 28 2017,Cumberland,NC,Passenger,1,0,1,650,651,0.15
February 28 2017,Guilford,NC,Passenger,1,0,1,32,33,3.03
February 28 2017,Jackson,MO,Passenger,1,0,1,67,68,1.47
January 31 2017,Tulare,CA,Passenger,1,0,1,205,206,0.49
February 28 2017,Honolulu,HI,Passenger,4,1,5,615,620,0.81
January 31 2017,Ventura,CA,Passenger,0,2,2,389,391,0.51
February 28 2017,Clark,WA,Passenger,704,461,1165,302137,303302,0.38
February 28 2017,Kitsap,WA,Passenger,572,296,868,174711,175579,0.49
January 31 2017,Shelby,TN,Passenger,0,1,1,118,119,0.84
January 31 2017,Wahkiakum,WA,Truck,0,0,0,1676,1676,0.00
February 28 2017,Fairfax City,VA,Passenger,1,0,1,6,7,14.29
February 28 2017,King,WA,Truck,8,1,9,194706,194715,0.00
February 28 2017,Columbia,WA,Passenger,0,1,1,2371,2372,0.04
January 31 2017,Spokane,WA,Truck,1,1,2,92933,92935,0.00
February 28 2017,Lane,OR,Passenger,0,1,1,258,259,0.39
February 28 2017,Lewis,WA,Passenger,47,42,89,55907,55996,0.16
February 28 2017,Glacier,MT,Passenger,0,1,1,3,4,25.00
February 28 2017,Lewis,WA,Truck,0,0,0,25715,25715,0.00
January 31 2017,Whatcom,WA,Truck,2,0,2,42397,42399,0.00
February 28 2017,Lincoln,WA,Passenger,2,4,6,7708,7714,0.08
February 28 2017,Grays Harbor,WA,Passenger,26,27,53,44997,45050,0.12
February 28 2017,Madison,ID,Passenger,1,0,1,42,43,2.33
January 31 2017,Thurston,WA,Passenger,336,322,658,187155,187813,0.35
February 28 2017,Hamilton,TN,Passenger,1,0,1,23,24,4.17
February 28 2017,Latah,ID,Passenger,0,1,1,121,122,0.82
February 28 2017,Manassas City,VA,Passenger,0,1,1,8,9,11.11
February 28 2017,Maricopa,AZ,Passenger,2,0,2,1708,1710,0.12
February 28 2017,Adams,WA,Passenger,3,2,5,12471,12476,0.04
February 28 2017,Hardin,KY,Passenger,0,1,1,129,130,0.77
February 28 2017,Mason,WA,Truck,0,0,0,19851,19851,0.00
February 28 2017,Harnett,NC,Passenger,1,0,1,266,267,0.37
February 28 2017,Monroe,NY,Passenger,1,0,1,29,30,3.33
February 28 2017,Missoula,MT,Passenger,1,0,1,73,74,1.35
February 28 2017,Hidalgo,TX,Passenger,0,1,1,98,99,1.01
February 28 2017,Hamilton,IN,Passenger,1,0,1,62,63,1.59
February 28 2017,Monterey,CA,Passenger,0,1,1,229,230,0.43
February 28 2017,Mason,WA,Passenger,50,63,113,43644,43757,0.26
February 28 2017,Moore,NC,Passenger,0,1,1,214,215,0.47
February 28 2017,Jefferson,NY,Passenger,1,1,2,272,274,0.73
February 28 2017,Miami-Dade,FL,Passenger,0,1,1,128,129,0.78
February 28 2017,Okanogan,WA,Passenger,0,4,4,6698,6702,0.06
February 28 2017,Orange,CA,Passenger,2,1,3,695,698,0.43
February 28 2017,Nueces,TX,Passenger,0,1,1,97,98,1.02
February 28 2017,Kittitas,WA,Truck,0,0,0,13864,13864,0.00
February 28 2017,Klickitat,WA,Truck,0,0,0,8240,8240,0.00
February 28 2017,Jefferson,WA,Passenger,90,59,149,23993,24142,0.62
February 28 2017,Benton,WA,Passenger,134,138,272,129669,129941,0.21
